"","country","continent","lifeExp"
"107","Bangladesh","Asia",62.013
"108","Bangladesh","Asia",64.062
"109","Belgium","Europe",68
"110","Belgium","Europe",69.24
"111","Belgium","Europe",70.25
"112","Belgium","Europe",70.94
"113","Belgium","Europe",71.44
"114","Belgium","Europe",72.8
"115","Belgium","Europe",73.93
"116","Belgium","Europe",75.35
"117","Belgium","Europe",76.46
"118","Belgium","Europe",77.53
"119","Belgium","Europe",78.32
"120","Belgium","Europe",79.441
"121","Benin","Africa",38.223
"122","Benin","Africa",40.358
"123","Benin","Africa",42.618
"124","Benin","Africa",44.885
"125","Benin","Africa",47.014
"126","Benin","Africa",49.19
"127","Benin","Africa",50.904
"128","Benin","Africa",52.337
"129","Benin","Africa",53.919
"130","Benin","Africa",54.777
"131","Benin","Africa",54.406
"132","Benin","Africa",56.728
"133","Bolivia","Americas",40.414
"134","Bolivia","Americas",41.89
"135","Bolivia","Americas",43.428
"136","Bolivia","Americas",45.032
"137","Bolivia","Americas",46.714
"138","Bolivia","Americas",50.023
"139","Bolivia","Americas",53.859
"140","Bolivia","Americas",57.251
"141","Bolivia","Americas",59.957
"142","Bolivia","Americas",62.05
"143","Bolivia","Americas",63.883
"144","Bolivia","Americas",65.554
"145","Bosnia and Herzegovina","Europe",53.82
"146","Bosnia and Herzegovina","Europe",58.45
"147","Bosnia and Herzegovina","Europe",61.93
"148","Bosnia and Herzegovina","Europe",64.79
"149","Bosnia and Herzegovina","Europe",67.45
"150","Bosnia and Herzegovina","Europe",69.86
"151","Bosnia and Herzegovina","Europe",70.69
"152","Bosnia and Herzegovina","Europe",71.14
"153","Bosnia and Herzegovina","Europe",72.178
"154","Bosnia and Herzegovina","Europe",73.244
"155","Bosnia and Herzegovina","Europe",74.09
"156","Bosnia and Herzegovina","Europe",74.852
"157","Botswana","Africa",47.622
"158","Botswana","Africa",49.618
"159","Botswana","Africa",51.52
"160","Botswana","Africa",53.298
"161","Botswana","Africa",56.024
"162","Botswana","Africa",59.319
"163","Botswana","Africa",61.484
"164","Botswana","Africa",63.622
"165","Botswana","Africa",62.745
"166","Botswana","Africa",52.556
"167","Botswana","Africa",46.634
"168","Botswana","Africa",50.728
"169","Brazil","Americas",50.917
"170","Brazil","Americas",53.285
"171","Brazil","Americas",55.665
"172","Brazil","Americas",57.632
"173","Brazil","Americas",59.504
"174","Brazil","Americas",61.489
"175","Brazil","Americas",63.336
"176","Brazil","Americas",65.205
"177","Brazil","Americas",67.057
"178","Brazil","Americas",69.388
"179","Brazil","Americas",71.006
"180","Brazil","Americas",72.39
"181","Bulgaria","Europe",59.6
"182","Bulgaria","Europe",66.61
"183","Bulgaria","Europe",69.51
"184","Bulgaria","Europe",70.42
"185","Bulgaria","Europe",70.9
"186","Bulgaria","Europe",70.81
"187","Bulgaria","Europe",71.08
"188","Bulgaria","Europe",71.34
"189","Bulgaria","Europe",71.19
"190","Bulgaria","Europe",70.32
"191","Bulgaria","Europe",72.14
"192","Bulgaria","Europe",73.005
"193","Burkina Faso","Africa",31.975
"194","Burkina Faso","Africa",34.906
"195","Burkina Faso","Africa",37.814
"196","Burkina Faso","Africa",40.697
"197","Burkina Faso","Africa",43.591
"198","Burkina Faso","Africa",46.137
"199","Burkina Faso","Africa",48.122
"200","Burkina Faso","Africa",49.557
"201","Burkina Faso","Africa",50.26
"202","Burkina Faso","Africa",50.324
"203","Burkina Faso","Africa",50.65
"204","Burkina Faso","Africa",52.295
"205","Burundi","Africa",39.031
"206","Burundi","Africa",40.533
"207","Burundi","Africa",42.045
"208","Burundi","Africa",43.548
"209","Burundi","Africa",44.057
"210","Burundi","Africa",45.91
"211","Burundi","Africa",47.471
"212","Burundi","Africa",48.211
"213","Burundi","Africa",44.736
"214","Burundi","Africa",45.326
"215","Burundi","Africa",47.36
"216","Burundi","Africa",49.58
"217","Cambodia","Asia",39.417
"218","Cambodia","Asia",41.366
"219","Cambodia","Asia",43.415
"220","Cambodia","Asia",45.415
"221","Cambodia","Asia",40.317
"222","Cambodia","Asia",31.22
"223","Cambodia","Asia",50.957
"224","Cambodia","Asia",53.914
"225","Cambodia","Asia",55.803
"226","Cambodia","Asia",56.534
"227","Cambodia","Asia",56.752
"228","Cambodia","Asia",59.723
"229","Cameroon","Africa",38.523
"230","Cameroon","Africa",40.428
"231","Cameroon","Africa",42.643
"232","Cameroon","Africa",44.799
"233","Cameroon","Africa",47.049
"234","Cameroon","Africa",49.355
"235","Cameroon","Africa",52.961
"236","Cameroon","Africa",54.985
"237","Cameroon","Africa",54.314
"238","Cameroon","Africa",52.199
"239","Cameroon","Africa",49.856
"240","Cameroon","Africa",50.43
"241","Canada","Americas",68.75
"242","Canada","Americas",69.96
"243","Canada","Americas",71.3
"244","Canada","Americas",72.13
"245","Canada","Americas",72.88
"246","Canada","Americas",74.21
"247","Canada","Americas",75.76
"248","Canada","Americas",76.86
"249","Canada","Americas",77.95
"250","Canada","Americas",78.61
"251","Canada","Americas",79.77
"252","Canada","Americas",80.653
"253","Central African Republic","Africa",35.463
"254","Central African Republic","Africa",37.464
"255","Central African Republic","Africa",39.475
"256","Central African Republic","Africa",41.478
"257","Central African Republic","Africa",43.457
"258","Central African Republic","Africa",46.775
"259","Central African Republic","Africa",48.295
"260","Central African Republic","Africa",50.485
"261","Central African Republic","Africa",49.396
"262","Central African Republic","Africa",46.066
"263","Central African Republic","Africa",43.308
"264","Central African Republic","Africa",44.741
"265","Chad","Africa",38.092
"266","Chad","Africa",39.881
"267","Chad","Africa",41.716
"268","Chad","Africa",43.601
"269","Chad","Africa",45.569
"270","Chad","Africa",47.383
"271","Chad","Africa",49.517
"272","Chad","Africa",51.051
"273","Chad","Africa",51.724
"274","Chad","Africa",51.573
"275","Chad","Africa",50.525
"276","Chad","Africa",50.651
"277","Chile","Americas",54.745
"278","Chile","Americas",56.074
"279","Chile","Americas",57.924
"280","Chile","Americas",60.523
"281","Chile","Americas",63.441
"282","Chile","Americas",67.052
"283","Chile","Americas",70.565
"284","Chile","Americas",72.492
"285","Chile","Americas",74.126
"286","Chile","Americas",75.816
"287","Chile","Americas",77.86
"288","Chile","Americas",78.553
"289","China","Asia",44
"290","China","Asia",50.54896
"291","China","Asia",44.50136
"292","China","Asia",58.38112
"293","China","Asia",63.11888
"294","China","Asia",63.96736
"295","China","Asia",65.525
"296","China","Asia",67.274
"297","China","Asia",68.69
"298","China","Asia",70.426
"299","China","Asia",72.028
"300","China","Asia",72.961
"301","Colombia","Americas",50.643
"302","Colombia","Americas",55.118
"303","Colombia","Americas",57.863
"304","Colombia","Americas",59.963
"305","Colombia","Americas",61.623
"306","Colombia","Americas",63.837
"307","Colombia","Americas",66.653
"308","Colombia","Americas",67.768
"309","Colombia","Americas",68.421
"310","Colombia","Americas",70.313
"311","Colombia","Americas",71.682
"312","Colombia","Americas",72.889
"313","Comoros","Africa",40.715
"314","Comoros","Africa",42.46
"315","Comoros","Africa",44.467
"316","Comoros","Africa",46.472
"317","Comoros","Africa",48.944
"318","Comoros","Africa",50.939
"319","Comoros","Africa",52.933
"320","Comoros","Africa",54.926
"321","Comoros","Africa",57.939
"322","Comoros","Africa",60.66
"323","Comoros","Africa",62.974
"324","Comoros","Africa",65.152
"325","Congo, Dem. Rep.","Africa",39.143
"326","Congo, Dem. Rep.","Africa",40.652
"327","Congo, Dem. Rep.","Africa",42.122
"328","Congo, Dem. Rep.","Africa",44.056
"329","Congo, Dem. Rep.","Africa",45.989
"330","Congo, Dem. Rep.","Africa",47.804
"331","Congo, Dem. Rep.","Africa",47.784
"332","Congo, Dem. Rep.","Africa",47.412
"333","Congo, Dem. Rep.","Africa",45.548
"334","Congo, Dem. Rep.","Africa",42.587
"335","Congo, Dem. Rep.","Africa",44.966
"336","Congo, Dem. Rep.","Africa",46.462
"337","Congo, Rep.","Africa",42.111
"338","Congo, Rep.","Africa",45.053
"339","Congo, Rep.","Africa",48.435
"340","Congo, Rep.","Africa",52.04
"341","Congo, Rep.","Africa",54.907
"342","Congo, Rep.","Africa",55.625
"343","Congo, Rep.","Africa",56.695
"344","Congo, Rep.","Africa",57.47
"345","Congo, Rep.","Africa",56.433
"346","Congo, Rep.","Africa",52.962
"347","Congo, Rep.","Africa",52.97
"348","Congo, Rep.","Africa",55.322
"349","Costa Rica","Americas",57.206
"350","Costa Rica","Americas",60.026
"351","Costa Rica","Americas",62.842
"352","Costa Rica","Americas",65.424
"353","Costa Rica","Americas",67.849
"354","Costa Rica","Americas",70.75
"355","Costa Rica","Americas",73.45
"356","Costa Rica","Americas",74.752
"357","Costa Rica","Americas",75.713
"358","Costa Rica","Americas",77.26
"359","Costa Rica","Americas",78.123
"360","Costa Rica","Americas",78.782
"361","Cote d'Ivoire","Africa",40.477
"362","Cote d'Ivoire","Africa",42.469
"363","Cote d'Ivoire","Africa",44.93
"364","Cote d'Ivoire","Africa",47.35
"365","Cote d'Ivoire","Africa",49.801
"366","Cote d'Ivoire","Africa",52.374
"367","Cote d'Ivoire","Africa",53.983
"368","Cote d'Ivoire","Africa",54.655
"369","Cote d'Ivoire","Africa",52.044
"370","Cote d'Ivoire","Africa",47.991
"371","Cote d'Ivoire","Africa",46.832
"372","Cote d'Ivoire","Africa",48.328
"373","Croatia","Europe",61.21
"374","Croatia","Europe",64.77
"375","Croatia","Europe",67.13
"376","Croatia","Europe",68.5
"377","Croatia","Europe",69.61
"378","Croatia","Europe",70.64
"379","Croatia","Europe",70.46
"380","Croatia","Europe",71.52
"381","Croatia","Europe",72.527
"382","Croatia","Europe",73.68
"383","Croatia","Europe",74.876
"384","Croatia","Europe",75.748
"385","Cuba","Americas",59.421
"386","Cuba","Americas",62.325
"387","Cuba","Americas",65.246
"388","Cuba","Americas",68.29
"389","Cuba","Americas",70.723
"390","Cuba","Americas",72.649
"391","Cuba","Americas",73.717
"392","Cuba","Americas",74.174
"393","Cuba","Americas",74.414
"394","Cuba","Americas",76.151
"395","Cuba","Americas",77.158
"396","Cuba","Americas",78.273
"397","Czech Republic","Europe",66.87
"398","Czech Republic","Europe",69.03
"399","Czech Republic","Europe",69.9
"400","Czech Republic","Europe",70.38
"401","Czech Republic","Europe",70.29
"402","Czech Republic","Europe",70.71
"403","Czech Republic","Europe",70.96
"404","Czech Republic","Europe",71.58
"405","Czech Republic","Europe",72.4
"406","Czech Republic","Europe",74.01
"407","Czech Republic","Europe",75.51
"408","Czech Republic","Europe",76.486
"409","Denmark","Europe",70.78
"410","Denmark","Europe",71.81
"411","Denmark","Europe",72.35
"412","Denmark","Europe",72.96
"413","Denmark","Europe",73.47
"414","Denmark","Europe",74.69
"415","Denmark","Europe",74.63
"416","Denmark","Europe",74.8
"417","Denmark","Europe",75.33
"418","Denmark","Europe",76.11
"419","Denmark","Europe",77.18
"420","Denmark","Europe",78.332
"421","Djibouti","Africa",34.812
"422","Djibouti","Africa",37.328
"423","Djibouti","Africa",39.693
"424","Djibouti","Africa",42.074
"425","Djibouti","Africa",44.366
"426","Djibouti","Africa",46.519
"427","Djibouti","Africa",48.812
"428","Djibouti","Africa",50.04
"429","Djibouti","Africa",51.604
"430","Djibouti","Africa",53.157
"431","Djibouti","Africa",53.373
"432","Djibouti","Africa",54.791
"433","Dominican Republic","Americas",45.928
"434","Dominican Republic","Americas",49.828
"435","Dominican Republic","Americas",53.459
"436","Dominican Republic","Americas",56.751
"437","Dominican Republic","Americas",59.631
"438","Dominican Republic","Americas",61.788
"439","Dominican Republic","Americas",63.727
"440","Dominican Republic","Americas",66.046
"441","Dominican Republic","Americas",68.457
"442","Dominican Republic","Americas",69.957
"443","Dominican Republic","Americas",70.847
"444","Dominican Republic","Americas",72.235
"445","Ecuador","Americas",48.357
"446","Ecuador","Americas",51.356
"447","Ecuador","Americas",54.64
"448","Ecuador","Americas",56.678
"449","Ecuador","Americas",58.796
"450","Ecuador","Americas",61.31
"451","Ecuador","Americas",64.342
"452","Ecuador","Americas",67.231
"453","Ecuador","Americas",69.613
"454","Ecuador","Americas",72.312
"455","Ecuador","Americas",74.173
"456","Ecuador","Americas",74.994
"457","Egypt","Africa",41.893
"458","Egypt","Africa",44.444
"459","Egypt","Africa",46.992
"460","Egypt","Africa",49.293
"461","Egypt","Africa",51.137
"462","Egypt","Africa",53.319
"463","Egypt","Africa",56.006
"464","Egypt","Africa",59.797
"465","Egypt","Africa",63.674
"466","Egypt","Africa",67.217
"467","Egypt","Africa",69.806
"468","Egypt","Africa",71.338
"469","El Salvador","Americas",45.262
"470","El Salvador","Americas",48.57
"471","El Salvador","Americas",52.307
"472","El Salvador","Americas",55.855
"473","El Salvador","Americas",58.207
"474","El Salvador","Americas",56.696
"475","El Salvador","Americas",56.604
"476","El Salvador","Americas",63.154
"477","El Salvador","Americas",66.798
"478","El Salvador","Americas",69.535
"479","El Salvador","Americas",70.734
"480","El Salvador","Americas",71.878
"481","Equatorial Guinea","Africa",34.482
"482","Equatorial Guinea","Africa",35.983
"483","Equatorial Guinea","Africa",37.485
"484","Equatorial Guinea","Africa",38.987
"485","Equatorial Guinea","Africa",40.516
"486","Equatorial Guinea","Africa",42.024
"487","Equatorial Guinea","Africa",43.662
"488","Equatorial Guinea","Africa",45.664
"489","Equatorial Guinea","Africa",47.545
"490","Equatorial Guinea","Africa",48.245
"491","Equatorial Guinea","Africa",49.348
"492","Equatorial Guinea","Africa",51.579
"493","Eritrea","Africa",35.928
"494","Eritrea","Africa",38.047
"495","Eritrea","Africa",40.158
"496","Eritrea","Africa",42.189
"497","Eritrea","Africa",44.142
"498","Eritrea","Africa",44.535
"499","Eritrea","Africa",43.89
"500","Eritrea","Africa",46.453
"501","Eritrea","Africa",49.991
"502","Eritrea","Africa",53.378
"503","Eritrea","Africa",55.24
"504","Eritrea","Africa",58.04
"505","Ethiopia","Africa",34.078
"506","Ethiopia","Africa",36.667
"507","Ethiopia","Africa",40.059
"508","Ethiopia","Africa",42.115
"509","Ethiopia","Africa",43.515
"510","Ethiopia","Africa",44.51
"511","Ethiopia","Africa",44.916
"512","Ethiopia","Africa",46.684
"513","Ethiopia","Africa",48.091
"514","Ethiopia","Africa",49.402
"515","Ethiopia","Africa",50.725
"516","Ethiopia","Africa",52.947
"517","Finland","Europe",66.55
"518","Finland","Europe",67.49
"519","Finland","Europe",68.75
"520","Finland","Europe",69.83
"521","Finland","Europe",70.87
"522","Finland","Europe",72.52
"523","Finland","Europe",74.55
"524","Finland","Europe",74.83
"525","Finland","Europe",75.7
"526","Finland","Europe",77.13
"527","Finland","Europe",78.37
"528","Finland","Europe",79.313
"529","France","Europe",67.41
"530","France","Europe",68.93
"531","France","Europe",70.51
"532","France","Europe",71.55
"533","France","Europe",72.38
"534","France","Europe",73.83
"535","France","Europe",74.89
"536","France","Europe",76.34
"537","France","Europe",77.46
"538","France","Europe",78.64
"539","France","Europe",79.59
"540","France","Europe",80.657
"541","Gabon","Africa",37.003
"542","Gabon","Africa",38.999
"543","Gabon","Africa",40.489
"544","Gabon","Africa",44.598
"545","Gabon","Africa",48.69
"546","Gabon","Africa",52.79
"547","Gabon","Africa",56.564
"548","Gabon","Africa",60.19
"549","Gabon","Africa",61.366
"550","Gabon","Africa",60.461
"551","Gabon","Africa",56.761
"552","Gabon","Africa",56.735
"553","Gambia","Africa",30
"554","Gambia","Africa",32.065
"555","Gambia","Africa",33.896
"556","Gambia","Africa",35.857
"557","Gambia","Africa",38.308
"558","Gambia","Africa",41.842
"559","Gambia","Africa",45.58
"560","Gambia","Africa",49.265
"561","Gambia","Africa",52.644
"562","Gambia","Africa",55.861
"563","Gambia","Africa",58.041
"564","Gambia","Africa",59.448
"565","Germany","Europe",67.5
"566","Germany","Europe",69.1
"567","Germany","Europe",70.3
"568","Germany","Europe",70.8
"569","Germany","Europe",71
"570","Germany","Europe",72.5
"571","Germany","Europe",73.8
"572","Germany","Europe",74.847
"573","Germany","Europe",76.07
"574","Germany","Europe",77.34
"575","Germany","Europe",78.67
"576","Germany","Europe",79.406
"577","Ghana","Africa",43.149
"578","Ghana","Africa",44.779
"579","Ghana","Africa",46.452
"580","Ghana","Africa",48.072
"581","Ghana","Africa",49.875
"582","Ghana","Africa",51.756
"583","Ghana","Africa",53.744
"584","Ghana","Africa",55.729
"585","Ghana","Africa",57.501
"586","Ghana","Africa",58.556
"587","Ghana","Africa",58.453
"588","Ghana","Africa",60.022
"589","Greece","Europe",65.86
"590","Greece","Europe",67.86
"591","Greece","Europe",69.51
"592","Greece","Europe",71
"593","Greece","Europe",72.34
"594","Greece","Europe",73.68
"595","Greece","Europe",75.24
"596","Greece","Europe",76.67
"597","Greece","Europe",77.03
"598","Greece","Europe",77.869
"599","Greece","Europe",78.256
"600","Greece","Europe",79.483
"601","Guatemala","Americas",42.023
"602","Guatemala","Americas",44.142
"603","Guatemala","Americas",46.954
"604","Guatemala","Americas",50.016
"605","Guatemala","Americas",53.738
"606","Guatemala","Americas",56.029
"607","Guatemala","Americas",58.137
"608","Guatemala","Americas",60.782
"609","Guatemala","Americas",63.373
"610","Guatemala","Americas",66.322
"611","Guatemala","Americas",68.978
"612","Guatemala","Americas",70.259
"613","Guinea","Africa",33.609
"614","Guinea","Africa",34.558
"615","Guinea","Africa",35.753
"616","Guinea","Africa",37.197
"617","Guinea","Africa",38.842
"618","Guinea","Africa",40.762
"619","Guinea","Africa",42.891
"620","Guinea","Africa",45.552
"621","Guinea","Africa",48.576
"622","Guinea","Africa",51.455
"623","Guinea","Africa",53.676
"624","Guinea","Africa",56.007
"625","Guinea-Bissau","Africa",32.5
"626","Guinea-Bissau","Africa",33.489
"627","Guinea-Bissau","Africa",34.488
"628","Guinea-Bissau","Africa",35.492
"629","Guinea-Bissau","Africa",36.486
"630","Guinea-Bissau","Africa",37.465
"631","Guinea-Bissau","Africa",39.327
"632","Guinea-Bissau","Africa",41.245
"633","Guinea-Bissau","Africa",43.266
"634","Guinea-Bissau","Africa",44.873
"635","Guinea-Bissau","Africa",45.504
"636","Guinea-Bissau","Africa",46.388
"637","Haiti","Americas",37.579
"638","Haiti","Americas",40.696
"639","Haiti","Americas",43.59
"640","Haiti","Americas",46.243
"641","Haiti","Americas",48.042
"642","Haiti","Americas",49.923
"643","Haiti","Americas",51.461
"644","Haiti","Americas",53.636
"645","Haiti","Americas",55.089
"646","Haiti","Americas",56.671
"647","Haiti","Americas",58.137
"648","Haiti","Americas",60.916
"649","Honduras","Americas",41.912
"650","Honduras","Americas",44.665
"651","Honduras","Americas",48.041
"652","Honduras","Americas",50.924
"653","Honduras","Americas",53.884
"654","Honduras","Americas",57.402
"655","Honduras","Americas",60.909
"656","Honduras","Americas",64.492
"657","Honduras","Americas",66.399
"658","Honduras","Americas",67.659
"659","Honduras","Americas",68.565
"660","Honduras","Americas",70.198
"661","Hong Kong, China","Asia",60.96
"662","Hong Kong, China","Asia",64.75
"663","Hong Kong, China","Asia",67.65
"664","Hong Kong, China","Asia",70
"665","Hong Kong, China","Asia",72
"666","Hong Kong, China","Asia",73.6
"667","Hong Kong, China","Asia",75.45
"668","Hong Kong, China","Asia",76.2
"669","Hong Kong, China","Asia",77.601
"670","Hong Kong, China","Asia",80
"671","Hong Kong, China","Asia",81.495
"672","Hong Kong, China","Asia",82.208
"673","Hungary","Europe",64.03
"674","Hungary","Europe",66.41
"675","Hungary","Europe",67.96
"676","Hungary","Europe",69.5
"677","Hungary","Europe",69.76
"678","Hungary","Europe",69.95
"679","Hungary","Europe",69.39
"680","Hungary","Europe",69.58
"681","Hungary","Europe",69.17
"682","Hungary","Europe",71.04
"683","Hungary","Europe",72.59
"684","Hungary","Europe",73.338
"685","Iceland","Europe",72.49
"686","Iceland","Europe",73.47
"687","Iceland","Europe",73.68
"688","Iceland","Europe",73.73
"689","Iceland","Europe",74.46
"690","Iceland","Europe",76.11
"691","Iceland","Europe",76.99
"692","Iceland","Europe",77.23
"693","Iceland","Europe",78.77
"694","Iceland","Europe",78.95
"695","Iceland","Europe",80.5
"696","Iceland","Europe",81.757
"697","India","Asia",37.373
"698","India","Asia",40.249
"699","India","Asia",43.605
"700","India","Asia",47.193
"701","India","Asia",50.651
"702","India","Asia",54.208
"703","India","Asia",56.596
"704","India","Asia",58.553
"705","India","Asia",60.223
"706","India","Asia",61.765
"707","India","Asia",62.879
"708","India","Asia",64.698
"709","Indonesia","Asia",37.468
"710","Indonesia","Asia",39.918
"711","Indonesia","Asia",42.518
"712","Indonesia","Asia",45.964
"713","Indonesia","Asia",49.203
"714","Indonesia","Asia",52.702
"715","Indonesia","Asia",56.159
"716","Indonesia","Asia",60.137
"717","Indonesia","Asia",62.681
"718","Indonesia","Asia",66.041
"719","Indonesia","Asia",68.588
"720","Indonesia","Asia",70.65
"721","Iran","Asia",44.869
"722","Iran","Asia",47.181
"723","Iran","Asia",49.325
"724","Iran","Asia",52.469
"725","Iran","Asia",55.234
"726","Iran","Asia",57.702
"727","Iran","Asia",59.62
"728","Iran","Asia",63.04
"729","Iran","Asia",65.742
"730","Iran","Asia",68.042
"731","Iran","Asia",69.451
"732","Iran","Asia",70.964
"733","Iraq","Asia",45.32
"734","Iraq","Asia",48.437
"735","Iraq","Asia",51.457
"736","Iraq","Asia",54.459
"737","Iraq","Asia",56.95
"738","Iraq","Asia",60.413
"739","Iraq","Asia",62.038
"740","Iraq","Asia",65.044
"741","Iraq","Asia",59.461
"742","Iraq","Asia",58.811
"743","Iraq","Asia",57.046
"744","Iraq","Asia",59.545
"745","Ireland","Europe",66.91
"746","Ireland","Europe",68.9
"747","Ireland","Europe",70.29
"748","Ireland","Europe",71.08
"749","Ireland","Europe",71.28
"750","Ireland","Europe",72.03
"751","Ireland","Europe",73.1
"752","Ireland","Europe",74.36
"753","Ireland","Europe",75.467
"754","Ireland","Europe",76.122
"755","Ireland","Europe",77.783
"756","Ireland","Europe",78.885
"757","Israel","Asia",65.39
"758","Israel","Asia",67.84
"759","Israel","Asia",69.39
"760","Israel","Asia",70.75
"761","Israel","Asia",71.63
"762","Israel","Asia",73.06
"763","Israel","Asia",74.45
"764","Israel","Asia",75.6
"765","Israel","Asia",76.93
"766","Israel","Asia",78.269
"767","Israel","Asia",79.696
"768","Israel","Asia",80.745
"769","Italy","Europe",65.94
"770","Italy","Europe",67.81
"771","Italy","Europe",69.24
"772","Italy","Europe",71.06
"773","Italy","Europe",72.19
"774","Italy","Europe",73.48
"775","Italy","Europe",74.98
"776","Italy","Europe",76.42
"777","Italy","Europe",77.44
"778","Italy","Europe",78.82
"779","Italy","Europe",80.24
"780","Italy","Europe",80.546
"781","Jamaica","Americas",58.53
"782","Jamaica","Americas",62.61
"783","Jamaica","Americas",65.61
"784","Jamaica","Americas",67.51
"785","Jamaica","Americas",69
"786","Jamaica","Americas",70.11
"787","Jamaica","Americas",71.21
"788","Jamaica","Americas",71.77
"789","Jamaica","Americas",71.766
"790","Jamaica","Americas",72.262
"791","Jamaica","Americas",72.047
"792","Jamaica","Americas",72.567
"793","Japan","Asia",63.03
"794","Japan","Asia",65.5
"795","Japan","Asia",68.73
"796","Japan","Asia",71.43
"797","Japan","Asia",73.42
"798","Japan","Asia",75.38
"799","Japan","Asia",77.11
"800","Japan","Asia",78.67
"801","Japan","Asia",79.36
"802","Japan","Asia",80.69
"803","Japan","Asia",82
"804","Japan","Asia",82.603
"805","Jordan","Asia",43.158
"806","Jordan","Asia",45.669
"807","Jordan","Asia",48.126
"808","Jordan","Asia",51.629
"809","Jordan","Asia",56.528
"810","Jordan","Asia",61.134
"811","Jordan","Asia",63.739
"812","Jordan","Asia",65.869
"813","Jordan","Asia",68.015
"814","Jordan","Asia",69.772
"815","Jordan","Asia",71.263
"816","Jordan","Asia",72.535
"817","Kenya","Africa",42.27
"818","Kenya","Africa",44.686
"819","Kenya","Africa",47.949
"820","Kenya","Africa",50.654
"821","Kenya","Africa",53.559
"822","Kenya","Africa",56.155
"823","Kenya","Africa",58.766
"824","Kenya","Africa",59.339
"825","Kenya","Africa",59.285
"826","Kenya","Africa",54.407
"827","Kenya","Africa",50.992
"828","Kenya","Africa",54.11
"829","Korea, Dem. Rep.","Asia",50.056
"830","Korea, Dem. Rep.","Asia",54.081
"831","Korea, Dem. Rep.","Asia",56.656
"832","Korea, Dem. Rep.","Asia",59.942
"833","Korea, Dem. Rep.","Asia",63.983
"834","Korea, Dem. Rep.","Asia",67.159
